Age	Gender	Height
18-24	Male	73.5
25-44	Male	70
25-44	Female	63
25-44	Male	69
18-24	Female	65
18-24	Female	5 feet 8
25-44	Female	68
25-44	Male	5.8
25-44	Female	71.5
18-24	Male	71
18-24	Male	70
18-24	Female	68
18-24	Female	64
25-44	Female	5'4''
18-24	Female	64
18-24	Female	64.2
18-24	Female	5'3''
25-44	Female	5'2''
18-24	Male	68
18-24	Female	64.6 inch
18-24	Female	66 inches
18-24	Male	72
